date,Negative,Neutral,Positive,Positive - Negative
2020-10-31,0,0,1,1
2020-11-13,0,0,1,1
2020-11-21,0,1,0,0
2020-11-28,0,1,0,0
2020-12-01,1,0,0,-1
2020-12-02,0,0,3,3
2020-12-03,1,3,7,6
2020-12-04,4,5,15,11
2020-12-05,9,6,15,6
2020-12-06,2,1,6,4
2020-12-07,4,15,25,21
2020-12-08,18,15,43,25
2020-12-09,31,13,44,13
2020-12-10,17,11,29,12
2020-12-11,28,9,33,5
2020-12-12,8,14,28,20
2020-12-13,5,9,15,10
2020-12-14,7,14,43,36
2020-12-15,19,13,49,30
2020-12-16,10,15,86,76
2020-12-17,12,20,100,88
2020-12-18,12,23,61,49
2020-12-19,2,22,32,30
2020-12-20,4,14,20,16
2020-12-21,20,23,39,19
2020-12-22,18,31,29,11
2020-12-23,6,15,36,30
2020-12-24,11,17,22,11
2020-12-25,2,11,24,22
2020-12-26,1,5,25,24
2020-12-27,3,10,35,32
2020-12-28,9,23,22,13
2020-12-29,9,22,32,23
2020-12-30,2,19,34,32
2020-12-31,7,17,37,30
2021-01-01,8,11,25,17
2021-01-02,4,7,28,24
2021-01-03,3,7,27,24
2021-01-04,25,9,25,0
2021-01-05,14,15,40,26
2021-01-06,1,19,51,50
2021-01-07,7,50,39,32
2021-01-08,10,44,52,42
2021-01-09,6,13,26,20
2021-01-10,2,13,20,18
2021-01-11,40,31,14,-26
2021-01-12,30,38,29,-1
2021-01-13,24,24,38,14
2021-01-14,18,24,54,36
2021-01-15,16,32,38,22
2021-01-16,15,33,11,-4
2021-01-17,11,13,12,1
2021-01-18,12,44,17,5
2021-01-19,17,28,21,4
2021-01-20,21,16,18,-3
2021-01-21,41,27,29,-12
2021-01-22,44,22,28,-16
2021-01-23,9,22,26,17
2021-01-24,9,15,10,1
2021-01-25,13,23,29,16
2021-01-26,21,19,29,8
2021-01-27,21,22,37,16
2021-01-28,24,29,32,8
2021-01-29,8,16,53,45
2021-01-30,8,17,28,20
2021-01-31,6,15,9,3
2021-02-01,8,16,36,28
2021-02-02,8,26,36,28
2021-02-03,4,17,51,47
2021-02-04,7,20,42,35
2021-02-05,8,17,32,24
2021-02-06,5,16,19,14
2021-02-07,3,7,18,15
2021-02-08,6,13,64,58
2021-02-09,2,30,81,79
2021-02-10,11,26,58,47
2021-02-11,22,22,65,43
2021-02-12,4,26,85,81
2021-02-13,3,19,35,32
2021-02-14,6,6,28,22
2021-02-15,15,16,26,11
2021-02-16,5,17,69,64
2021-02-17,18,27,76,58
2021-02-18,11,42,54,43
2021-02-19,9,33,49,40
2021-02-20,2,21,43,41
2021-02-21,2,21,16,14
2021-02-22,28,21,11,-17
2021-02-23,43,38,23,-20
2021-02-24,22,30,45,23
2021-02-25,11,47,34,23
2021-02-26,27,33,17,-10
2021-02-27,11,27,12,1
2021-02-28,9,17,5,-4
2021-03-01,7,11,5,-2
2021-03-02,10,15,39,29
2021-03-03,7,34,26,19
2021-03-04,11,31,17,6
2021-03-05,15,35,28,13
2021-03-06,4,15,7,3
2021-03-07,1,12,12,11
2021-03-08,6,31,30,24
2021-03-09,6,20,36,30
2021-03-10,3,30,34,31
2021-03-11,4,33,32,28
2021-03-12,3,35,21,18
2021-03-13,0,18,24,24
2021-03-14,0,11,13,13
2021-03-15,21,26,25,4
2021-03-16,21,26,20,-1
2021-03-17,15,29,45,30
2021-03-18,15,29,39,24
2021-03-19,13,23,37,24
2021-03-20,3,11,7,4
2021-03-21,8,10,3,-5
2021-03-22,9,22,42,33
2021-03-23,16,26,22,6
2021-03-24,12,15,53,41
2021-03-25,26,16,33,7
2021-03-26,4,20,30,26
2021-03-27,8,13,11,3
2021-03-28,2,15,9,7
2021-03-29,3,27,33,30
2021-03-30,4,26,40,36
2021-03-31,13,23,48,35
2021-04-01,3,31,34,31
2021-04-02,2,22,25,23
2021-04-03,0,14,12,12
2021-04-04,3,12,7,4
2021-04-05,5,36,34,29
2021-04-06,8,14,21,13
2021-04-07,17,20,18,1
2021-04-08,13,20,25,12
2021-04-09,11,24,22,11
2021-04-10,4,21,15,11
2021-04-11,0,14,13,13
2021-04-12,3,19,31,28
2021-04-13,7,25,35,28
2021-04-14,9,30,22,13
2021-04-15,6,22,24,18
2021-04-16,11,17,17,6
2021-04-17,2,7,12,10
2021-04-18,19,11,6,-13
2021-04-19,23,21,17,-6
2021-04-20,8,12,22,14
2021-04-21,20,19,18,-2
2021-04-22,15,38,17,2
2021-04-23,37,18,17,-20
2021-04-24,4,18,9,5
2021-04-25,7,8,10,3
2021-04-26,9,26,32,23
2021-04-27,7,28,25,18
2021-04-28,12,32,21,9
2021-04-29,6,21,28,22
2021-04-30,9,23,17,8
2021-05-01,3,12,11,8
2021-05-02,8,9,7,-1
2021-05-03,5,21,24,19
2021-05-04,6,21,33,27
2021-05-05,11,28,41,30
2021-05-06,4,34,46,42
2021-05-07,8,35,38,30
2021-05-08,2,14,10,8
2021-05-09,1,10,7,6
2021-05-10,6,20,27,21
2021-05-11,12,27,44,32
2021-05-12,25,30,36,11
2021-05-13,56,49,27,-29
2021-05-14,16,36,29,13
2021-05-15,6,15,18,12
2021-05-16,24,12,10,-14
2021-05-17,52,53,33,-19
2021-05-18,31,28,51,20
2021-05-19,108,26,33,-75
2021-05-20,48,38,33,-15
2021-05-21,35,49,19,-16
2021-05-22,22,22,11,-11
2021-05-23,20,16,5,-15
2021-05-24,41,41,69,28
2021-05-25,22,55,50,28
2021-05-26,35,49,36,1
2021-05-27,22,45,33,11
2021-05-28,39,40,15,-24
2021-05-29,13,18,12,-1
2021-05-30,11,10,9,-2
2021-05-31,22,38,32,10
2021-06-01,29,33,39,10
2021-06-02,21,42,35,14
2021-06-03,18,42,44,26
2021-06-04,48,49,56,8
2021-06-05,7,16,45,38
2021-06-06,12,18,31,19
2021-06-07,33,42,94,61
2021-06-08,60,61,61,1
2021-06-09,30,53,91,61
2021-06-10,46,60,61,15
2021-06-11,36,58,42,6
2021-06-12,18,17,28,10
2021-06-13,7,13,28,21
2021-06-14,16,41,109,93
2021-06-15,18,39,73,55
2021-06-16,24,46,48,24
2021-06-17,46,44,45,-1
2021-06-18,49,43,63,14
2021-06-19,18,14,17,-1
2021-06-20,23,10,13,-10
2021-06-21,68,36,40,-28
2021-06-22,78,47,37,-41
2021-06-23,29,50,67,38
2021-06-24,46,39,53,7
2021-06-25,26,44,63,37
2021-06-26,24,16,15,-9
2021-06-27,13,13,21,8
2021-06-28,25,37,77,52
2021-06-29,30,40,71,41
2021-06-30,24,42,50,26
2021-07-01,25,40,40,15
2021-07-02,20,36,46,26
2021-07-03,6,26,19,13
2021-07-04,7,8,18,11
2021-07-05,16,37,21,5
2021-07-06,38,30,27,-11
2021-07-07,19,23,39,20
2021-07-08,41,41,25,-16
2021-07-09,41,30,43,2
2021-07-10,14,12,21,7
2021-07-11,3,6,12,9
2021-07-12,27,37,43,16
2021-07-13,36,47,44,8
2021-07-14,42,43,38,-4
2021-07-15,33,42,40,7
2021-07-16,23,37,40,17
2021-07-17,15,10,23,8
2021-07-18,11,12,24,13
2021-07-19,42,48,20,-22
2021-07-20,66,41,22,-44
2021-07-21,15,41,82,67
2021-07-22,15,37,85,70
2021-07-23,15,42,44,29
2021-07-24,5,20,30,25
2021-07-25,4,15,15,11
2021-07-26,16,45,92,76
2021-07-27,37,42,40,3
2021-07-28,11,38,64,53
2021-07-29,18,41,60,42
2021-07-30,22,31,58,36
2021-07-31,5,16,38,33
2021-08-01,3,15,21,18
2021-08-02,30,35,75,45
2021-08-03,23,32,62,39
2021-08-04,22,25,50,28
2021-08-05,16,32,64,48
2021-08-06,6,26,56,50
2021-08-07,3,12,25,22
2021-08-08,2,8,27,25
2021-08-09,18,27,72,54
2021-08-10,17,36,61,44
2021-08-11,8,24,52,44
2021-08-12,21,23,46,25
2021-08-13,11,39,38,27
2021-08-14,3,10,27,24
2021-08-15,1,15,20,19
2021-08-16,12,20,33,21
2021-08-17,16,25,38,22
2021-08-18,15,38,47,32
2021-08-19,24,28,36,12
2021-08-20,14,33,64,50
2021-08-21,8,9,32,24
2021-08-22,3,13,23,20
2021-08-23,8,25,94,86
2021-08-24,25,28,73,48
2021-08-25,24,30,48,24
2021-08-26,18,27,33,15
2021-08-27,17,31,50,33
2021-08-28,4,17,19,15
2021-08-29,5,16,15,10
2021-08-30,21,29,35,14
2021-08-31,19,16,51,32
2021-09-01,19,19,50,31
2021-09-02,10,28,48,38
2021-09-03,9,42,29,20
2021-09-04,2,9,20,18
2021-09-05,6,14,15,9
2021-09-06,6,26,65,59
2021-09-07,49,29,82,33
2021-09-08,54,35,55,1
2021-09-09,27,41,45,18
2021-09-10,22,30,37,15
2021-09-11,9,18,22,13
2021-09-12,5,12,19,14
2021-09-13,25,33,54,29
2021-09-14,14,29,61,47
2021-09-15,17,21,60,43
2021-09-16,15,40,50,35
2021-09-17,20,28,32,12
2021-09-18,5,11,27,22
2021-09-19,9,11,16,7
2021-09-20,48,14,43,-5
2021-09-21,26,28,45,19
2021-09-22,26,25,54,28
2021-09-23,11,18,66,55
2021-09-24,45,28,34,-11
2021-09-25,9,18,15,6
2021-09-26,5,10,21,16
2021-09-27,19,24,49,30
2021-09-28,28,16,43,15
2021-09-29,10,25,64,54
2021-09-30,15,23,60,45
2021-10-01,6,15,90,84
2021-10-02,1,13,14,13
2021-10-03,1,9,23,22
2021-10-04,10,20,81,71
2021-10-05,8,25,99,91
2021-10-06,8,17,80,72
2021-10-07,5,22,66,61
2021-10-08,9,16,87,78
2021-10-09,9,13,33,24
2021-10-10,10,9,31,21
2021-10-11,12,34,91,79
2021-10-12,15,28,65,50
2021-10-13,26,25,90,64
2021-10-14,17,29,83,66
2021-10-15,12,47,104,92
2021-10-16,7,16,52,45
2021-10-17,12,17,30,18
2021-10-18,14,52,94,80
2021-10-19,16,39,106,90
2021-10-20,7,31,147,140
2021-10-21,26,49,90,64
2021-10-22,21,30,65,44
2021-10-23,10,22,20,10
2021-10-24,5,21,19,14
2021-10-25,8,52,59,51
2021-10-26,6,31,74,68
2021-10-27,39,40,34,-5
2021-10-28,18,24,56,38
2021-10-29,9,16,43,34
2021-10-30,3,11,22,19
2021-10-31,7,20,15,8
2021-11-01,7,18,64,57
2021-11-02,6,24,61,55
2021-11-03,6,58,42,36
2021-11-04,12,47,38,26
2021-11-05,8,23,52,44
2021-11-06,3,10,20,17
2021-11-07,4,8,16,12
2021-11-08,6,25,78,72
2021-11-09,9,23,76,67
2021-11-10,14,30,58,44
2021-11-11,16,34,45,29
2021-11-12,25,26,55,30
2021-11-13,19,14,22,3
2021-11-14,5,10,32,27
2021-11-15,7,37,60,53
2021-11-16,56,26,50,-6
2021-11-17,32,37,44,12
2021-11-18,29,38,34,5
2021-11-19,39,28,27,-12
2021-11-20,10,24,21,11
2021-11-21,6,8,34,28
2021-11-22,33,30,36,3
2021-11-23,31,32,40,9
2021-11-24,15,22,38,23
2021-11-25,16,29,19,3
2021-11-26,46,23,22,-24
2021-11-27,8,12,14,6
2021-11-28,7,12,9,2
2021-11-29,13,30,77,64
2021-11-30,10,40,33,23
2021-12-01,18,44,44,26
2021-12-02,36,33,23,-13
2021-12-03,28,37,12,-16
2021-12-04,44,19,10,-34
2021-12-05,14,19,7,-7
2021-12-06,49,37,25,-24
2021-12-07,13,40,59,46
2021-12-08,16,35,33,17
2021-12-09,33,34,34,1
2021-12-10,31,40,28,-3
2021-12-11,12,21,18,6
2021-12-12,6,15,15,9
2021-12-13,33,32,22,-11
2021-12-14,24,41,26,2
2021-12-15,20,37,49,29
2021-12-16,13,34,34,21
2021-12-17,25,27,28,3
2021-12-18,13,16,17,4
2021-12-19,3,16,16,13
2021-12-20,32,39,19,-13
2021-12-21,7,44,51,44
2021-12-22,8,40,39,31
2021-12-23,12,32,36,24
2021-12-24,7,33,41,34
2021-12-25,6,13,13,7
2021-12-26,5,15,12,7
2021-12-27,8,26,39,31
2021-12-28,39,25,13,-26
2021-12-29,26,46,22,-4
2021-12-30,14,35,42,28
2021-12-31,13,21,31,18
2022-01-01,11,13,9,-2
2022-01-02,7,11,19,12
2022-01-03,10,44,52,42
2022-01-04,22,29,35,13
2022-01-05,37,28,58,21
2022-01-06,76,29,30,-46
2022-01-07,56,25,23,-33
2022-01-08,17,14,15,-2
2022-01-09,15,20,6,-9
2022-01-10,60,27,47,-13
2022-01-11,34,32,59,25
2022-01-12,24,26,79,55
2022-01-13,15,30,53,38
2022-01-14,27,24,46,19
2022-01-15,8,12,26,18
2022-01-16,2,11,17,15
2022-01-17,33,22,33,0
2022-01-18,27,21,35,8
2022-01-19,27,23,40,13
2022-01-20,30,34,43,13
2022-01-21,81,35,24,-57
2022-01-22,41,9,14,-27
2022-01-23,20,15,14,-6
2022-01-24,59,42,22,-37
2022-01-25,47,34,44,-3
2022-01-26,44,46,40,-4
2022-01-27,48,22,32,-16
2022-01-28,31,37,28,-3
2022-01-29,11,28,12,1
2022-01-30,14,24,17,3
2022-01-31,28,25,33,5
2022-02-01,40,39,68,28
2022-02-02,35,44,44,9
2022-02-03,40,39,30,-10
2022-02-04,11,32,54,43
2022-02-05,8,24,41,33
2022-02-06,5,14,11,6
2022-02-07,20,33,75,55
2022-02-08,15,45,57,42
2022-02-09,25,47,44,19
2022-02-10,18,35,46,28
2022-02-11,22,38,34,12
2022-02-12,24,14,17,-7
2022-02-13,5,11,20,15
2022-02-14,20,31,34,14
2022-02-15,9,32,58,49
2022-02-16,23,25,45,22
2022-02-17,44,35,24,-20
2022-02-18,51,35,29,-22
2022-02-19,20,14,5,-15
2022-02-20,16,13,10,-6
2022-02-21,33,31,31,-2
2022-02-22,62,19,27,-35
2022-02-23,25,46,43,18
2022-02-24,73,33,28,-45
2022-02-25,13,42,58,45
2022-02-26,6,21,22,16
2022-02-27,13,18,10,-3
2022-02-28,19,37,54,35
2022-03-01,4,28,104,100
2022-03-02,11,38,52,41
2022-03-03,17,40,40,23
2022-03-04,36,29,35,-1
2022-03-05,14,14,14,0
2022-03-06,11,15,7,-4
2022-03-07,28,36,28,0
2022-03-08,21,27,23,2
2022-03-09,5,19,64,59
2022-03-10,28,41,29,1
2022-03-11,32,41,28,-4
2022-03-12,14,23,14,0
2022-03-13,10,22,12,2
2022-03-14,26,47,40,14
2022-03-15,25,34,34,9
2022-03-16,15,41,49,34
2022-03-17,7,29,41,34
2022-03-18,9,20,33,24
2022-03-19,4,9,20,16
2022-03-20,4,18,10,6
2022-03-21,20,26,49,29
2022-03-22,12,36,62,50
2022-03-23,27,39,42,15
2022-03-24,16,37,59,43
2022-03-25,9,32,68,59
2022-03-26,7,17,16,9
2022-03-27,4,9,25,21
2022-03-28,5,35,77,72
2022-03-29,21,36,89,68
2022-03-30,15,47,50,35
2022-03-31,22,39,45,23
2022-04-01,31,46,33,2
2022-04-02,9,21,16,7
2022-04-03,4,15,16,12
2022-04-04,14,45,37,23
2022-04-05,14,43,61,47
2022-04-06,35,64,56,21
2022-04-07,35,56,73,38
2022-04-08,28,61,79,51
2022-04-09,10,31,19,9
